Date,Close/Last,Volume,Open,High,Low
04/20/2020,$31.07,11465210,$31.86,$32.87,$30.97
04/17/2020,$33.49,9704704,$33.9,$35.05,$32.1073
04/16/2020,$36.35,11378240,$34.5,$38.08,$34.11
04/15/2020,$35.61,13312700,$32.13,$36.03,$31.7
04/14/2020,$31.88,5330415,$32.33,$32.48,$30.57
04/13/2020,$31.99,9420339,$28.53,$32.28,$28.46
04/09/2020,$28.45,5549147,$27.62,$29.03,$27.32
04/08/2020,$27.5,3959334,$27.3,$27.74,$26.91
04/07/2020,$27.58,6167123,$28.8,$28.96,$26.06
04/06/2020,$28.37,7596606,$29.19,$29.45,$28.02
04/03/2020,$28.75,7756101,$27.07,$29.11,$26.95
04/02/2020,$26.74,6039998,$28.05,$28.48,$25.85
04/01/2020,$27.96,11805490,$26.44,$29.34,$26.0867
03/31/2020,$26.55,5734607,$27.89,$28.565,$26.54
03/30/2020,$27.7,12153830,$26.8,$28.67,$26.26
03/27/2020,$25.98,4871186,$25.6,$26.18,$24.58
03/26/2020,$25.75,4695042,$24.56,$26.05,$24.31
03/25/2020,$24.52,4290237,$24.57,$25.1407,$23.67
03/24/2020,$24.57,5242729,$24.21,$25,$23.62
03/23/2020,$23.34,5643565,$23.41,$24.76,$23.07
03/20/2020,$23.01,7400022,$25,$25.4,$21.78
03/19/2020,$24.99,6849846,$26,$26.58,$23.1806
03/18/2020,$25.79,11057430,$24.5,$27.38,$24.43
03/17/2020,$25.45,15370290,$24.22,$27,$22.69
03/16/2020,$22.25,12514480,$18.64,$22.94,$17.7
03/13/2020,$19.72,8873007,$20.52,$20.6,$17.83
03/12/2020,$19.51,8665942,$20.74,$20.99,$18.01
03/11/2020,$22,6233757,$22.5,$23.38,$21.64
03/10/2020,$22.97,6196695,$24.1,$24.33,$22.31
03/09/2020,$23.21,5288148,$23,$24.725,$22.53
03/06/2020,$24.98,7334380,$25.95,$26.1408,$24.36
03/05/2020,$27.1,5464751,$26.51,$27.18,$25.845
